,기준_년_코드,기준_분기_코드,서비스_업종_코드,점포_수,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,폐업_률,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,집객시설_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,총 상주인구 수,남성 상주인구 수,여성 상주인구 수,연령대 10 상주인구 수,연령대 20 상주인구 수,연령대 30 상주인구 수,연령대 40 상주인구 수,연령대 50 상주인구 수,연령대 60 이상 상주인구 수,남성연령대 10 상주인구 수,남성연령대 20 상주인구 수,남성연령대 30 상주인구 수,남성연령대 40 상주인구 수,남성연령대 50 상주인구 수,남성연령대 60 이상 상주인구 수,여성연령대 10 상주인구 수,여성연령대 20 상주인구 수,여성연령대 30 상주인구 수,여성연령대 40 상주인구 수,여성연령대 50 상주인구 수,여성연령대 60 이상 상주인구 수,총 가구 수,아파트 가구 수,비 아파트 가구 수
0,2015,1,CS300011,1.0,0.9988142325524141,0.9362048238233396,1.0,0.8825875329497176,0.8979871146151943,0.7993745775511065,0.8771498616384661,0.9250174467072586,1.0,1.0,0.5194407510104908,0.4872058729538411,0.8892685543784253,1.0,1.0,0.8986760207013654,0.9557127348854692,0.930124916916328,0.9470387857144772,0.977731465555863,0.9028701966930448,0.8617834862798736,0.9372021515569338,0.6128459826565028,4,1.0,1.0,1.0,0.8862797515075109,0.9922523210072384,1.0,1.0,1.0,1.0,0.2077530071447952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8859653128071536,1.0,1.0,0.1466666666666667,0.36607355627929145,0.484823541516617,0.2914160036224853,0.5087719298245614,0.6549727520435966,0.4604224993637058,0.282105733765508,0.21254636348975972,0.21404109589041087,0.3111111111111111,0.603567888999009,0.6105216622458001,0.5685546270504489,0.29952494061757723,0.26517571884984026,0.4838709677419356,0.6338600451467269,0.3997498213009292,0.14760617146492766,0.08471367723615715,0.14432989690721654,0.0,0.0,0.0036764705882352884,0.0,0.0,0.0,0.0,0.08029197080291972,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.0,0.0,0.0,0.03389830508474577,0.0,0.07826086956521737,0.0,0.0,0.0,0.0
1,2015,2,CS300011,0.9647058823529412,0.9623437300723008,0.950057881499091,0.8923888844960493,0.9753343556041212,0.9561065441520736,0.8577635565246089,0.7654687086080942,0.918415829769074,0.9046607331821386,0.8784648221889135,0.5317789316592019,0.8446692942272519,1.0,0.8987983163233899,0.9344096647286506,0.962267116274497,0.89408064819804,0.9654148675791604,0.7385532529398108,0.9400957291857779,1.0,0.8993672192819796,0.8913667031371793,0.7048225245587076,2,0.8521636303449753,0.8370969741884694,0.8692104271449008,0.6889135288667467,0.8333529789006606,0.858767768777382,0.8626838184850584,0.8624816860650293,0.8235590457845607,0.19962467215338706,0.8948662278827251,0.8616898166445865,0.8491204267301062,0.8513824631422259,0.8571622056308938,0.6738637115174764,0.6948210842580476,0.8925642878553055,0.9848783364915229,1.0,0.9239410064105252,0.7286580184671161,0.1466666666666667,0.3727063309238224,0.4852351064924376,0.3019600232874054,0.3859649122807017,0.5313351498637602,0.4823110206159328,0.3036772102380686,0.24544428318013226,0.1712328767123288,0.08888888888888885,0.4231912784935581,0.6396993810786913,0.5914577530176417,0.326603325415677,0.07987220447284349,0.4408602150537633,0.5521444695259594,0.4186919228020015,0.16653411802131385,0.1273071462375769,0.2577319587628866,0.04311774461028193,0.2083333333333334,0.023897058823529403,0.8571428571428571,0.2222222222222222,0.01612903225806452,0.033057851239669415,0.08029197080291972,0.04074074074074074,1.0,0.2222222222222222,0.08333333333333336,0.13333333333333336,0.18181818181818185,0.1851851851851852,0.42857142857142855,0.15384615384615385,0.03389830508474577,0.01818181818181818,0.060869565217391314,0.023904382470119525,0.2589285714285714,0.0,0.2589285714285714
2,2015,3,CS300011,0.8647058823529417,0.97789860295036,0.9973545406920408,0.8595400398634294,1.0,1.0,1.0,0.8360252730016924,0.8788567712342769,0.8864298690384909,0.8290299132770251,0.6164750601555326,0.6936322599811554,0.9512360063536158,0.92955983333699,0.9609028894775687,0.9715698248956194,0.9077343941215638,1.0,0.9017738500357216,1.0,0.951439728271364,0.9339792152515308,0.9017341413445346,0.5524113340292561,3,0.5093856495291964,0.4766489418454769,0.5464283325475507,0.5715023467047404,0.543300495268082,0.4577187148695642,0.5005168108350383,0.5541023214334465,0.5059514989875045,0.05790449489011488,0.4701974527737413,0.5007620047364443,0.5183461818780426,0.5794862772288001,0.5941952923516234,0.4062696339406766,0.4252433424449624,0.5182389995561949,0.5998142733444602,0.5832177814519405,0.5637449197636906,0.4280745482354274,0.1466666666666667,0.3727063309238224,0.4852351064924376,0.3019600232874054,0.3859649122807017,0.5313351498637602,0.4823110206159328,0.3036772102380686,0.24544428318013226,0.1712328767123288,0.08888888888888885,0.4231912784935581,0.6396993810786913,0.5914577530176417,0.326603325415677,0.07987220447284349,0.4408602150537633,0.5521444695259594,0.4186919228020015,0.16653411802131385,0.1273071462375769,0.2577319587628866,0.04311774461028193,0.2083333333333334,0.023897058823529403,0.8571428571428571,0.2222222222222222,0.01612903225806452,0.033057851239669415,0.08029197080291972,0.04074074074074074,1.0,0.2222222222222222,0.08333333333333336,0.13333333333333336,0.18181818181818185,0.1851851851851852,0.42857142857142855,0.15384615384615385,0.03389830508474577,0.01818181818181818,0.060869565217391314,0.023904382470119525,0.2589285714285714,0.0,0.2589285714285714
3,2015,4,CS300011,0.8352941176470585,1.0,1.0,0.9084127832093941,0.8263366752356779,0.9360358731050196,0.8994024916913488,1.0,1.0,0.9042112965113768,0.9131799347659566,0.6333890999635475,0.5897558532801018,0.9575455428050408,0.9478747772046714,0.988068425359363,1.0,1.0,0.9481400481954756,1.0,0.9662413035529852,0.9202826636224832,1.0,1.0,0.64648511153652,2,0.4600634881758535,0.43183201021964746,0.4920094881210878,0.7044822819994836,0.471191939856594,0.39861421922442497,0.4479865720653834,0.5238058404389884,0.4626561959796514,0.06164646830062406,0.3912402769467476,0.4572439458565598,0.4875123296909579,0.5246877926311074,0.5488625910688991,0.3663093978373732,0.3989325455516924,0.451728632870862,0.4859337156625297,0.5070929229379096,0.5860476808983116,0.4529768311335183,0.1466666666666667,0.7115338787830647,0.8157217820763455,0.6460314379972831,0.912280701754386,0.9683242506811988,1.0,0.576953168659886,0.3704241251411063,0.0,0.2666666666666666,0.711595639246779,1.0,1.0,0.5173396674584324,0.0,1.0,1.0,1.0,0.3454747892476539,0.11405584477046855,0.0,0.033167495854063034,0.1527777777777778,0.020220588235294115,0.8571428571428571,0.2222222222222222,0.01612903225806452,0.016528925619834708,0.05109489051094891,0.04074074074074074,1.0,0.2222222222222222,0.08333333333333336,0.0,0.09090909090909093,0.1851851851851852,0.42857142857142855,0.15384615384615385,0.03389830508474577,0.01818181818181818,0.043478260869565216,0.023904382470119525,0.25,0.0,0.25
4,2016,1,CS300011,0.7470588235294118,0.7981334505193628,0.800265195430178,0.7218795629939547,0.6920257234358741,0.8356389620574151,0.8126330141491849,0.6824834826299393,0.7427941563546588,0.7321406957901873,0.7102369282083343,0.0,0.6325053279881301,0.7461247559097351,0.7733711390973683,0.8078321740309322,0.7052675287239114,0.698949913535943,0.7637982108683314,0.7208550569355012,0.7329459924602589,0.7404042903669609,0.7348747219394337,0.7171739491589897,0.6236072480338489,3,0.21267811800993847,0.20648936078181454,0.21967953120590167,0.13053450187584487,0.1711841482248066,0.17809489288828653,0.2409131239461785,0.2807833359116927,0.22596927939941724,0.002283621235416478,0.1200239336695444,0.235521119546212,0.26591509207275543,0.2878905558211381,0.2660820198531611,0.1539011606759036,0.15696458854412687,0.2131914705752505,0.2596383349856313,0.26010348001413064,0.28081451376377425,0.16844728941256445,0.11999999999999986,0.7115338787830647,0.8157217820763455,0.6460314379972831,0.912280701754386,0.9683242506811988,1.0,0.576953168659886,0.3704241251411063,0.0,0.2666666666666666,0.711595639246779,1.0,1.0,0.5173396674584324,0.0,1.0,1.0,1.0,0.3454747892476539,0.11405584477046855,0.0,0.033167495854063034,0.1527777777777778,0.020220588235294115,0.8571428571428571,0.2222222222222222,0.01612903225806452,0.016528925619834708,0.05109489051094891,0.04074074074074074,1.0,0.2222222222222222,0.08333333333333336,0.0,0.09090909090909093,0.1851851851851852,0.42857142857142855,0.15384615384615385,0.03389830508474577,0.01818181818181818,0.043478260869565216,0.023904382470119525,0.25,0.0,0.25
5,2016,2,CS300011,0.7411764705882353,0.6385918428270937,0.639498200631337,0.5787635481415563,0.670511355077314,0.5784733146543978,0.5431757200188673,0.5914901166053133,0.6172909206660563,0.5943521683127116,0.561076162638549,0.4529561828084385,0.7404826374804908,0.6721032847789559,0.5888350343926129,0.6033723545044682,0.7169608499458995,0.5418446161820523,0.6665412147946188,0.5649491174815787,0.6346347825303749,0.5770253526426221,0.6062224130181191,0.6099315290114613,0.6005949114701785,1,0.17403299165545705,0.1585069048944152,0.1916001742316596,0.09140756717347387,0.13983981204186707,0.1468951261281138,0.19348848838166555,0.2347050205207073,0.18844273225663066,0.0,0.12561415505598764,0.19091854770118027,0.21054664838177373,0.2540023543601384,0.24792185145682016,0.11696661816738865,0.12106528624195635,0.1757840364896171,0.2373661952388721,0.2200836779863453,0.2275820170109357,0.11048546989180302,0.11999999999999986,0.7075224402255941,0.8059471139006072,0.6456433145740346,0.4912280701754386,0.8831743869209809,0.9840926444387884,0.5943891807309712,0.3710691823899371,0.2773972602739725,0.1777777777777778,0.7938553022794849,0.9858532272325377,0.9644073042401736,0.4781472684085512,0.4408945686900958,0.5268817204301075,0.8496613995485327,0.9833809864188708,0.38857960871639896,0.19403691433980125,0.08247422680412378,0.988391376451078,0.7638888888888891,0.9981617647058824,1.0,1.0,0.9677419354838712,1.0,0.9708029197080296,0.9925925925925924,0.0,0.5555555555555556,0.4166666666666667,0.7333333333333334,0.8636363636363639,0.6296296296296295,1.0,1.0,0.9661016949152544,1.0,0.991304347826087,1.0,0.8035714285714285,0.0,0.8035714285714285
6,2016,3,CS300011,0.6470588235294117,0.5662720020427653,0.5769086467708664,0.4986660736142841,0.5879991493041011,0.5350737971877677,0.5424217786736721,0.4773378576204798,0.5667711729481963,0.4983611241155308,0.4990120798216441,0.691415083457698,0.5386084775302004,0.6105675634949275,0.4920216712104098,0.5449193161110237,0.6636992478672951,0.4760791903433975,0.5893861793120643,0.6144512282133829,0.6057650947164901,0.4570979038320146,0.4706205986292754,0.4620579564667148,0.5364278646983672,4,0.4554474883136217,0.4472948500935744,0.464668331764487,0.5779728723969804,0.3904926109358549,0.37179557894958026,0.4583182152189357,0.5415419195733877,0.6726082876475528,0.2667540924301348,0.6024378151978802,0.4317215299537422,0.4196860857363232,0.4774165469616137,0.6397480826857636,0.3960682517112529,0.410478244372343,0.4519633152016061,0.4979155947645162,0.5305020919496586,0.4822223153307916,0.3268849487339262,0.08000000000000006,0.7075224402255941,0.8059471139006072,0.6456433145740346,0.4912280701754386,0.8831743869209809,0.9840926444387884,0.5943891807309712,0.3710691823899371,0.2773972602739725,0.1777777777777778,0.7938553022794849,0.9858532272325377,0.9644073042401736,0.4781472684085512,0.4408945686900958,0.5268817204301075,0.8496613995485327,0.9833809864188708,0.38857960871639896,0.19403691433980125,0.08247422680412378,0.988391376451078,0.7638888888888891,0.9981617647058824,1.0,1.0,0.9677419354838712,1.0,0.9708029197080296,0.9925925925925924,0.0,0.5555555555555556,0.4166666666666667,0.7333333333333334,0.8636363636363639,0.6296296296296295,1.0,1.0,0.9661016949152544,1.0,0.991304347826087,1.0,0.8035714285714285,0.0,0.8035714285714285
7,2016,4,CS300011,0.6352941176470588,0.6319848237805924,0.6014147885201486,0.6193479451468461,0.6194016834720174,0.6000035002300131,0.528225828169319,0.5046968834528387,0.5780542282501225,0.6640874922388507,0.5685849136560619,0.4298095290894064,0.5393989086427313,0.6686766489109685,0.5866067261314236,0.6057777538618986,0.673480849916387,0.6207389266823008,0.5998018948179815,0.6976669192519422,0.6437858898431572,0.4861009040546263,0.5974705192978157,0.6377652724912595,0.5131169953382522,2,0.3103362500645789,0.2895780646686833,0.3338224762103635,0.5636192414599692,0.28366134771255674,0.2374646725712064,0.2986922704003073,0.3765868285269681,0.4490294858497557,0.16069006059509813,0.3474108898196427,0.2911095231620983,0.3083265738526916,0.3665671600328267,0.4894441904955389,0.2299031116695877,0.2596020566985961,0.311098150656762,0.33161494346631204,0.3685868705826939,0.4392885574223825,0.2342831246813573,0.08000000000000006,0.6883787433473669,0.7822821277909252,0.6293421307975935,0.807017543859649,0.8358310626702996,0.9637312293204376,0.58947133117246,0.34462183518787304,0.2585616438356164,0.5111111111111111,0.7512388503468784,0.9885057471264368,0.9619312906220986,0.4389548693586699,0.32907348242811496,0.7526881720430108,0.8063205417607224,0.9537169406719086,0.3828535072371561,0.19451017510648366,0.16494845360824742,1.0,0.8472222222222224,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,0.5555555555555556,0.4166666666666667,0.8,1.0,0.7037037037037037,1.0,0.9230769230769228,1.0,0.9909090909090909,1.0,1.0,0.8928571428571428,0.0,0.8928571428571428
8,2017,1,CS300011,0.4882352941176471,0.4841320501740428,0.4997304009247783,0.4167055716038758,0.5132900737682916,0.5127872858442709,0.4934197913703511,0.43399345035240905,0.4158561903406046,0.36554608513686304,0.4747528874883369,0.18732021520971506,0.4331143087787803,0.5172256163506938,0.4598653091879314,0.4682502847394481,0.4790226728793082,0.4860686388873697,0.4574160901437711,0.5071027767227798,0.4989533802310218,0.4105487616638587,0.38978441047754653,0.4759416803728199,0.5144213649656046,5,0.2586215144168674,0.15955078536145084,0.3707219031056631,0.8492337135653203,0.6972911093485596,0.21554328069677772,0.08568998057766948,0.11803274213069552,0.0,0.24382743963100303,0.09433968715274817,0.2542281777336524,0.2627342641281996,0.3685453318501868,0.4188858979351132,0.12444611619986112,0.15112785448237948,0.2214099993261596,0.22336893094231186,0.2131241303569412,0.6243767545146018,0.6544723276496913,0.0,0.6883787433473669,0.7822821277909252,0.6293421307975935,0.807017543859649,0.8358310626702996,0.9637312293204376,0.58947133117246,0.34462183518787304,0.2585616438356164,0.5111111111111111,0.7512388503468784,0.9885057471264368,0.9619312906220986,0.4389548693586699,0.32907348242811496,0.7526881720430108,0.8063205417607224,0.9537169406719086,0.3828535072371561,0.19451017510648366,0.16494845360824742,1.0,0.8472222222222224,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,0.5555555555555556,0.4166666666666667,0.8,1.0,0.7037037037037037,1.0,0.9230769230769228,1.0,0.9909090909090909,1.0,1.0,0.8928571428571428,0.0,0.8928571428571428
9,2017,2,CS300011,0.4411764705882355,0.6251070602242144,0.60168533483384,0.6025203175467514,0.5957691845418913,0.5751314472885238,0.5274412266441971,0.5428967923195476,0.5824359000572691,0.6119697701140243,0.5917986431127947,0.6058198633523822,1.0,0.8046934689462326,0.5931964649550064,0.5623059760941685,0.6024302669095812,0.5952685909926414,0.6067285566029657,0.4921490139113847,0.6060600728788843,0.5835149689521426,0.5844804823212226,0.5750445016636128,0.7574112703816986,3,0.3742151518224628,0.2509789983938082,0.5136546721981412,0.9203335510427266,0.8052191945850158,0.3295733917483531,0.1836218225280739,0.2420032942332717,0.18666963006865225,0.520676946730578,0.24756987776733055,0.38192720799567453,0.3617461630267251,0.4448015982794883,0.4838686011929955,0.2150185179061539,0.23036224533254865,0.3189402582435073,0.3417119479965364,0.36575835277889257,0.7744794067121971,0.8177873449272077,0.0,0.6204225911510051,0.7076859759234491,0.5655605149104082,0.2192982456140351,0.5408719346049045,0.8778315092898956,0.5613054655191684,0.3583293017255282,0.3681506849315068,0.1777777777777778,0.4975222993062439,0.8824049513704686,0.8891983905911484,0.4365795724465559,0.4281150159744409,0.1935483870967742,0.5309255079006772,0.8759828448892066,0.38014951487195797,0.2394699479413157,0.2783505154639176,0.1890547263681592,0.9861111111111112,0.0827205882352941,0.7142857142857142,0.8888888888888888,0.24193548387096775,0.17355371900826447,0.2554744525547446,0.1222222222222222,0.3333333333333333,1.0,0.6666666666666667,1.0,0.9090909090909092,0.7407407407407407,0.5714285714285714,0.5384615384615384,0.15254237288135594,0.05454545454545455,0.13043478260869565,0.05179282868525896,0.9553571428571428,0.0,0.9553571428571428
